inv_no,po_no,line_no,item_code,inv_qty,inv_unit_price,inv_amount,tax_rate,inv_date
INV-1,PO-1000,10,A001,100,10,1130,0.13,2026-06-20
INV-2,PO-1000,20,A002,50,20.006,1130.3,0.13,2026-06-20
INV-3,PO-2000,10,B001,100,5.18,585,0.13,2026-06-21
INV-4,PO-2000,20,B002,100,7.82,884,0.13,2026-06-21
INV-5,PO-3000,10,C001,100,10.44,1180,0.13,2026-06-22
INV-6,PO-4000,10,D001,100,10.44,1180,0.13,2026-06-23
INV-7,PO-4000,20,D002,100,10.44,1180,0.13,2026-06-23
INV-8,PO-5000,10,E001,100,10,1130,0.13,2026-06-24
INV-9,PO-6000,10,F001,100,9.66,1130,0.17,2026-06-25
INV-10,PO-7000,10,G002,100,10,1130,0.13,2026-06-26
INV-11,PO-9999,10,X001,10,10,113,0.13,2026-06-27
