po_no,line_no,item_code,qty,unit_price,tax_rate,amount,supplier,po_date
PO-1000,10,A001,100,10,0.13,1130,供应商甲,2026-06-01
PO-2000,10,B001,100,5,0.13,565,供应商乙,2026-06-02
PO-2000,20,B002,100,8,0.13,904,供应商乙,2026-06-02
PO-3000,10,C001,100,10,0.13,1130,供应商丙,2026-06-03
PO-4000,10,D001,100,10,0.13,1130,供应商丁,2026-06-04
PO-4000,20,D002,100,10,0.13,1130,供应商丁,2026-06-04
PO-5000,10,E001,100,10,0.13,1130,供应商戊,2026-06-05
PO-6000,10,F001,100,10,0.13,1130,供应商己,2026-06-06
PO-8000,10,H001,100,10,0.13,1130,供应商辛,2026-06-08
PO-9000,10,J001,100,10,0.13,1130,供应商壬,2026-06-09
