ap_no,po_no,line_no,item_code,qty,unit_price,untaxed_amount,tax_amount,ap_date
AP-1000,PO-1000,10,A001,100,10,1000,130,2026-06-20
AP-1010,PO-1000,10,A001,100,10,1000,130,2026-06-21
AP-2000,PO-2000,10,B001,100,5,500,65,2026-06-22
AP-2000,PO-2000,20,B002,100,8,800,104,2026-06-22
AP-3000,PO-3000,10,C001,100,10,1000,130,2026-06-23
AP-4000,PO-4000,10,D001,100,10,1000,130,2026-06-24
AP-4000,PO-4000,20,D002,100,10,1000,130,2026-06-24
AP-5000,PO-5000,10,E001,100,10,1000,130,2026-06-25
AP-6000,PO-6000,10,F001,100,10,1000,130,2026-06-26
AP-8000,PO-8000,10,H001,100,10.6,1060,137.8,2026-06-28
AP-9000,PO-9000,10,J001,100,10.2,1020,132.6,2026-06-29
