inv_no,ap_no,item_code,unit,unit_price,inv_qty,untaxed_amount,tax_rate,tax_amount,inv_date
INV-1,AP-1000,A001,件,10,100,1000,0.13,130,2026-06-30
INV-2,AP-1010,A001,件,10.003,100,1000.3,0.13,130,2026-06-30
INV-3,AP-2000,B001,件,5.2,100,520,0.13,65,2026-06-30
INV-4,AP-2000,B002,件,7.8,100,780,0.13,104,2026-06-30
INV-5,AP-3000,C001,件,10.44,100,1044,0.13,130,2026-06-30
INV-6,AP-4000,D001,件,10.44,100,1044,0.13,130,2026-06-30
INV-7,AP-4000,D002,件,10.44,100,1044,0.13,130,2026-06-30
INV-8,AP-6000,F001,件,10,100,1000,0.17,170,2026-06-30
INV-9,AP-9999,X001,件,10,10,100,0.13,13,2026-06-30
INV-10,AP-8000,H001,件,10.6,100,1060,0.13,137.8,2026-06-30
INV-11,AP-9000,J001,件,10.2,100,1020,0.13,132.6,2026-06-30
