日期,星期,节假日名称,日期类型,是否工作日
2026-01-01,周四,元旦,节假日,否
2026-01-02,周五,元旦,节假日,否
2026-01-03,周六,元旦,节假日,否
2026-01-04,周日,元旦调休,调休上班,是
2026-01-05,周一,,工作日,是
2026-01-06,周二,,工作日,是
2026-01-07,周三,,工作日,是
2026-01-08,周四,,工作日,是
2026-01-09,周五,,工作日,是
2026-01-10,周六,,周末,否
2026-01-11,周日,,周末,否
2026-01-12,周一,,工作日,是
2026-01-13,周二,,工作日,是
2026-01-14,周三,,工作日,是
2026-01-15,周四,,工作日,是
2026-01-16,周五,,工作日,是
2026-01-17,周六,,周末,否
2026-01-18,周日,,周末,否
2026-01-19,周一,,工作日,是
2026-01-20,周二,,工作日,是
2026-01-21,周三,,工作日,是
2026-01-22,周四,,工作日,是
2026-01-23,周五,,工作日,是
2026-01-24,周六,,周末,否
2026-01-25,周日,,周末,否
2026-01-26,周一,,工作日,是
2026-01-27,周二,,工作日,是
2026-01-28,周三,,工作日,是
2026-01-29,周四,,工作日,是
2026-01-30,周五,,工作日,是
2026-01-31,周六,,周末,否
2026-02-01,周日,,周末,否
2026-02-02,周一,,工作日,是
2026-02-03,周二,,工作日,是
2026-02-04,周三,,工作日,是
2026-02-05,周四,,工作日,是
2026-02-06,周五,,工作日,是
2026-02-07,周六,,周末,否
2026-02-08,周日,,周末,否
2026-02-09,周一,,工作日,是
2026-02-10,周二,,工作日,是
2026-02-11,周三,,工作日,是
2026-02-12,周四,,工作日,是
2026-02-13,周五,,工作日,是
2026-02-14,周六,春节调休,调休上班,是
2026-02-15,周日,春节,节假日,否
2026-02-16,周一,春节,节假日,否
2026-02-17,周二,春节,节假日,否
2026-02-18,周三,春节,节假日,否
2026-02-19,周四,春节,节假日,否
2026-02-20,周五,春节,节假日,否
2026-02-21,周六,春节,节假日,否
2026-02-22,周日,春节,节假日,否
2026-02-23,周一,春节,节假日,否
2026-02-24,周二,,工作日,是
2026-02-25,周三,,工作日,是
2026-02-26,周四,,工作日,是
2026-02-27,周五,,工作日,是
2026-02-28,周六,春节调休,调休上班,是
2026-03-01,周日,,周末,否
2026-03-02,周一,,工作日,是
2026-03-03,周二,,工作日,是
2026-03-04,周三,,工作日,是
2026-03-05,周四,,工作日,是
2026-03-06,周五,,工作日,是
2026-03-07,周六,,周末,否
2026-03-08,周日,,周末,否
2026-03-09,周一,,工作日,是
2026-03-10,周二,,工作日,是
2026-03-11,周三,,工作日,是
2026-03-12,周四,,工作日,是
2026-03-13,周五,,工作日,是
2026-03-14,周六,,周末,否
2026-03-15,周日,,周末,否
2026-03-16,周一,,工作日,是
2026-03-17,周二,,工作日,是
2026-03-18,周三,,工作日,是
2026-03-19,周四,,工作日,是
2026-03-20,周五,,工作日,是
2026-03-21,周六,,周末,否
2026-03-22,周日,,周末,否
2026-03-23,周一,,工作日,是
2026-03-24,周二,,工作日,是
2026-03-25,周三,,工作日,是
2026-03-26,周四,,工作日,是
2026-03-27,周五,,工作日,是
2026-03-28,周六,,周末,否
2026-03-29,周日,,周末,否
2026-03-30,周一,,工作日,是
2026-03-31,周二,,工作日,是
2026-04-01,周三,,工作日,是
2026-04-02,周四,,工作日,是
2026-04-03,周五,,工作日,是
2026-04-04,周六,清明节,节假日,否
2026-04-05,周日,清明节,节假日,否
2026-04-06,周一,清明节,节假日,否
2026-04-07,周二,,工作日,是
2026-04-08,周三,,工作日,是
2026-04-09,周四,,工作日,是
2026-04-10,周五,,工作日,是
2026-04-11,周六,,周末,否
2026-04-12,周日,,周末,否
2026-04-13,周一,,工作日,是
2026-04-14,周二,,工作日,是
2026-04-15,周三,,工作日,是
2026-04-16,周四,,工作日,是
2026-04-17,周五,,工作日,是
2026-04-18,周六,,周末,否
2026-04-19,周日,,周末,否
2026-04-20,周一,,工作日,是
2026-04-21,周二,,工作日,是
2026-04-22,周三,,工作日,是
2026-04-23,周四,,工作日,是
2026-04-24,周五,,工作日,是
2026-04-25,周六,,周末,否
2026-04-26,周日,,周末,否
2026-04-27,周一,,工作日,是
2026-04-28,周二,,工作日,是
2026-04-29,周三,,工作日,是
2026-04-30,周四,,工作日,是
2026-05-01,周五,劳动节,节假日,否
2026-05-02,周六,劳动节,节假日,否
2026-05-03,周日,劳动节,节假日,否
2026-05-04,周一,劳动节,节假日,否
2026-05-05,周二,劳动节,节假日,否
2026-05-06,周三,,工作日,是
2026-05-07,周四,,工作日,是
2026-05-08,周五,,工作日,是
2026-05-09,周六,劳动节调休,调休上班,是
2026-05-10,周日,,周末,否
2026-05-11,周一,,工作日,是
2026-05-12,周二,,工作日,是
2026-05-13,周三,,工作日,是
2026-05-14,周四,,工作日,是
2026-05-15,周五,,工作日,是
2026-05-16,周六,,周末,否
2026-05-17,周日,,周末,否
2026-05-18,周一,,工作日,是
2026-05-19,周二,,工作日,是
2026-05-20,周三,,工作日,是
2026-05-21,周四,,工作日,是
2026-05-22,周五,,工作日,是
2026-05-23,周六,,周末,否
2026-05-24,周日,,周末,否
2026-05-25,周一,,工作日,是
2026-05-26,周二,,工作日,是
2026-05-27,周三,,工作日,是
2026-05-28,周四,,工作日,是
2026-05-29,周五,,工作日,是
2026-05-30,周六,,周末,否
2026-05-31,周日,,周末,否
2026-06-01,周一,,工作日,是
2026-06-02,周二,,工作日,是
2026-06-03,周三,,工作日,是
2026-06-04,周四,,工作日,是
2026-06-05,周五,,工作日,是
2026-06-06,周六,,周末,否
2026-06-07,周日,,周末,否
2026-06-08,周一,,工作日,是
2026-06-09,周二,,工作日,是
2026-06-10,周三,,工作日,是
2026-06-11,周四,,工作日,是
2026-06-12,周五,,工作日,是
2026-06-13,周六,,周末,否
2026-06-14,周日,,周末,否
2026-06-15,周一,,工作日,是
2026-06-16,周二,,工作日,是
2026-06-17,周三,,工作日,是
2026-06-18,周四,,工作日,是
2026-06-19,周五,端午节,节假日,否
2026-06-20,周六,端午节,节假日,否
2026-06-21,周日,端午节,节假日,否
2026-06-22,周一,,工作日,是
2026-06-23,周二,,工作日,是
2026-06-24,周三,,工作日,是
2026-06-25,周四,,工作日,是
2026-06-26,周五,,工作日,是
2026-06-27,周六,,周末,否
2026-06-28,周日,,周末,否
2026-06-29,周一,,工作日,是
2026-06-30,周二,,工作日,是
2026-07-01,周三,,工作日,是
2026-07-02,周四,,工作日,是
2026-07-03,周五,,工作日,是
2026-07-04,周六,,周末,否
2026-07-05,周日,,周末,否
2026-07-06,周一,,工作日,是
2026-07-07,周二,,工作日,是
2026-07-08,周三,,工作日,是
2026-07-09,周四,,工作日,是
2026-07-10,周五,,工作日,是
2026-07-11,周六,,周末,否
2026-07-12,周日,,周末,否
2026-07-13,周一,,工作日,是
2026-07-14,周二,,工作日,是
2026-07-15,周三,,工作日,是
2026-07-16,周四,,工作日,是
2026-07-17,周五,,工作日,是
2026-07-18,周六,,周末,否
2026-07-19,周日,,周末,否
2026-07-20,周一,,工作日,是
2026-07-21,周二,,工作日,是
2026-07-22,周三,,工作日,是
2026-07-23,周四,,工作日,是
2026-07-24,周五,,工作日,是
2026-07-25,周六,,周末,否
2026-07-26,周日,,周末,否
2026-07-27,周一,,工作日,是
2026-07-28,周二,,工作日,是
2026-07-29,周三,,工作日,是
2026-07-30,周四,,工作日,是
2026-07-31,周五,,工作日,是
2026-08-01,周六,,周末,否
2026-08-02,周日,,周末,否
2026-08-03,周一,,工作日,是
2026-08-04,周二,,工作日,是
2026-08-05,周三,,工作日,是
2026-08-06,周四,,工作日,是
2026-08-07,周五,,工作日,是
2026-08-08,周六,,周末,否
2026-08-09,周日,,周末,否
2026-08-10,周一,,工作日,是
2026-08-11,周二,,工作日,是
2026-08-12,周三,,工作日,是
2026-08-13,周四,,工作日,是
2026-08-14,周五,,工作日,是
2026-08-15,周六,,周末,否
2026-08-16,周日,,周末,否
2026-08-17,周一,,工作日,是
2026-08-18,周二,,工作日,是
2026-08-19,周三,,工作日,是
2026-08-20,周四,,工作日,是
2026-08-21,周五,,工作日,是
2026-08-22,周六,,周末,否
2026-08-23,周日,,周末,否
2026-08-24,周一,,工作日,是
2026-08-25,周二,,工作日,是
2026-08-26,周三,,工作日,是
2026-08-27,周四,,工作日,是
2026-08-28,周五,,工作日,是
2026-08-29,周六,,周末,否
2026-08-30,周日,,周末,否
2026-08-31,周一,,工作日,是
2026-09-01,周二,,工作日,是
2026-09-02,周三,,工作日,是
2026-09-03,周四,,工作日,是
