# ============================================================================
# 🔴 本表工时值全部为占位常数 7，**非真实工时**。
#    禁止用于任何对外承诺、交期答复或产能测算。
#
#  · 料号列（product_id / product_name）为真实成品/半成品料号，46 项，可信。
#  · 工时列（smt_lead_days）46 行全部等于 7，是 supplychain MVP 阶段的占位默认值，
#    从未经运营部确认，不反映任何产品的实际 SMT 加工天数。
#  · 该事实于 2026-08-18 收割时经统计确认（46/46 全为 7），并非抽样推断。
#
#  解除占位状态的条件（晋档 2 前置之一）：
#    由运营部 PMC 实名确认并签字存档一版真实工时表，替换本表，
#    同时把下方 @placeholder 标记改为 false。
#
#  机器可读标记 —— 供 load_smt_lead_time / is_placeholder_lead_time 消费，勿手改格式：
# @placeholder: true
# ============================================================================
product_id,product_name,smt_lead_days
F01N.0021,EQ15-2YA,7
F02N.0039,EQ02-DZ-C1,7
F02N.0040,EQ02-DW-C1,7
F02N.0064,EQ47-P1,7
F02N.0075,EQ49-JQ-B1,7
F02N.0096,EQ02-2-C1,7
F02N.0112,EQ07-3-C2.1,7
F02N.0113,EQ41_C3.1,7
F02N.0131,EQ33-2-C3,7
F02N.0140,EQ33-3.1-C3,7
F02N.0159,EQ43-4-C1,7
F02N.0173,EQ33-C3.1,7
F02N.0184,EQ40S,7
F02N.0187,EQ42-1-C3.2,7
F02N.0188,EQ01-B1,7
F02N.0191,EQ07-3-C3.1,7
F02N.0193,EQ46-A2.2,7
F02N.0194,EQ43-2-C1.1,7
F02N.0196,EQ43-4-C1.1,7
F02N.0198,EQ42-3-C3.1,7
F02N.0199,EQ42-4-C3.1,7
F02N.0200,EQ42-5-C3.1,7
F02N.0205,EQ42-1-C4.1,7
F02N.0211,EQ4K-A1,7
S01Y.0365,EQ17-B3_PCBA,7
S02Y.0027,EQ02-4-C1_PCBA,7
S02Y.0035,EQ02-DW-C1_PCBA,7
S02Y.0053,EQ48-P1_PCBA,7
S02Y.0058,EQ47-P1_PCBA,7
S02Y.0120,EQ07-1-C3.1_PCBA,7
S02Y.0135,EQ07-2-C2.1_PCBA,7
S02Y.0157,EQ42-2-C4_PCBA,7
S02Y.0166,EQ42-1-C3.2_PCBA,7
S02Y.0170,EQ07-3-C3.1_PCBA,7
S02Y.0175,EQ41-1-B1_PCBA,7
S02Y.0187,EQ42-1-C4.1_PCBA,7
S02Y.0189,EQ4K-A1_PCBA,7
S04Y.0112,DB416-A2_PCBA,7
S07Y.0134,VCPU-P-B1_PCBA,7
S07Y.0135,VCPU-E-B1_PCBA,7
Y01N.0352,EQ16MG-B4,7
Y02N.0175,EQ08-1-1-B2,7
Y02N.0176,EQ08-1-3-B2,7
Y08N.0009,EQ15G-C2.1,7
Y08N.0013,JE95-C2.1(船机ECU),7
Y08N.0018,EQ15G-C3.1,7
